name,hair,hair_details,comments
hu826751,brown,,
huDDCF88,blonde,,
hu3DC5EA,brown,dark brown,
hu008567,red,dark red/auburn/very metallic,"Born with red hair per adoption papers/description. Very thin until age 2 then VERY thick and wavy. Tiny streaks of gray all my life, no major gray by age 51. "
hu98FFC6,brown,Mousy brown with reddish highlights and greying temples.,"I was a strawberry blonde when very young and my hair became more prominently brown as I aged. I have very fine, hair that when gathered makes a skinny pony tail. It is not stringy-thin; it has body and very slight curl to it. I could never grow it longer than just below my shoulders. I also have a widow's peak and a slight cowlick left of center."
hu0D1FA1,brown,brown with red highlights,
hu7604D9,brown,Dark brown,
huCF446F,brown,,
hu6E5DF0,brown,Brown with some gray ,Graying is most prominent at temples and in beard.
hu05CA34,brown,light brown,
hu9F7183,gray,red/brown before greying,
hu0FB755,brown,Brown,"The hair color at the crown is Brown, and the temples are turning Gray."
hu0FB755,brown,Brown,My hair color is Brown at the crown and then Gray at the temples.
hu5DA1EE,brown,Brown,"curly and kinky, now falling out."
huE7F5FC,black,,
huAEADC0,blonde,dark blond,light blond as child
hu775E9F,brown,dark brown,fairly bald now
hu2D6140,blonde,light brown and grey,"born very blond and my hair color darkened over the years to a light brown.  At age 73 it I beginning to grey, but most of my hair is still the natural color.  My father did not go grey until late 70s"
hu4BF398,blonde,blonde,Age is turning hair white.  Body hair is still blond.
hu726FB4,blonde,,
hu2C1D94,red,"Reddish brown on head, bright red in beard","Head hair and beard hair are different colors -- brown with a reddish tint on head, but bright red beard. My dad's hair was similarly disparate until he went grey."
huB1FD55,white,"Streaks of white, with swaths of gray",I was completely gray with streaks of white by 30 years old. I dyed my hair for 20 years
hu816A0B,brown,"half brown, half gray",I was born with blond hair.
huA60DA9,brown,"Medium brown, light brown streaks develop with sun","I was born with a full head of dark brown hair. Had light brown hair through most of my childhood. Hair started darkening around puberty to the medium brown shade it is now.

My brother who was born with blue eyes that later turned brown was also born with straight blonde hair that turned brown and extremely curly when he hit puberty (it has since stayed brown and extremely curly)."
hu5A063B,,"""ash blonde"" (the color of wet sidewalk... that color that is neither blonde nor brown...aka grey but not from age)","i was born bald, when my hair grew in it was white, then it turned blonde, then golden blonde, then the weird not-blonde-not-brown color it is now (ash blonde??)"
huB10361,brown,brown with red highlights and gray,
huA08B2B,brown,Medium brown,
hu101457,brown,dark brown,
hu60180F,gray,silver gray,I was a light blond and then turned to an ash blond
huDE435D,brown,Brown,
huA05317,brown,medium brown,"was much lighter at birth, darkened within a year."
huBD6B35,brown,dark brown,
hu38BF09,blonde,Dark Blonde,Auburn in Winter
hu6C733E,gray,Salt and pepper (dark brown and gray),My hair was dark brown at birth but is now graying.  
hu5BB600,brown,Brown,
hu2C1AB7,,,"I was born with very very blonde hair. Almost platinum blonde. It wasn't until the age of 5 or 6 that my hair started to darken up and become more of a dirty blonde. By then, blonde highlights were put in my hair for sporting purposes and I have been doing that ever since. "
hu260CA7,brown,,
hu7A262B,brown,brown,
huB24B8E,brown,Dark brown ,"Lighter when younger probably due to sun exposure, also darkish red tints"
hu04260F,brown,Dark brown with red undertones,
hu17ABE7,brown,ash brown with 10% gray,"I was born with blonde hair, which gradually darkened into my 30s. In my mid-60s, gray hairs began to appear. I am now 71,  with about 10% gray throughout."
huA9A1B6,brown,,Blond until puberty
hu8D99F6,brown,dark brown with mild/limited red and golden highlights,"As a toddler, I had dark blond (golden hair) that steadily darkened until it was dark brown but my mid-teens.

My father was similar though he progressed to nearly black hair.

My mother had a consistent medium-to-dark brown hair with red highlights her entire life."
hu8D99F6,brown,dark brown with mild/limited red and golden highlights,
hu95E46D,brown,"""dishwater"" light brownish with blonde and red highlights","I was born BALD!! And did not seem to grow any amount of hair on my head until at least 2 years old. Then, it was WHITE-blonde, and stayed that way until I cropped it all off in a boy's pixie skullcap style at the age of 7. It grew back in much, much darker and remained that mousy shade that's neither quite brown nor blonde, but a nondescript in-between shade, until I started dying it all shades of the rainbow regularly, at the age of 12. ***It is also quite wiry/curly***"
huDBF9DD,brown,"Brown, graying on sides","I was born with red hair that went blonde until (maybe) second grade, and then eventually turned brown somehow."
hu034DB1,blonde,fine,
hu0E64A1,brown,Dirty blonde,
hu627574,gray,it is gray brown now,"I was a blond as a child, my hair turned light brown around 12 and had some red/gold in it, then in my 20's turned a bit darker.  I started getting some gray hair around 26 and I am almost all gray at 55."
hu2BC187,brown,,Born and had blondish hair for first year.
hu7123C1,gray,"""Dishwater"" blonde, then brown, then gray.","As a child ""dishwater"" blonde from 1 to 20 yo , and gradually darkening to brown as an adult from age 21 to 50 yo; and with aging from 51 to 69 yo increasing gray (initially in beard and then scalp)."
huE9B080,brown,brown with small amounts of auburn & grey,I have noticeable amount of auburn / strawberry blonde in beard and eyebrows
huEA2AF0,brown,,
huC14AE1,blonde,"Dark blonde, nearing light brown in color.","When younger, my hair was considerably lighter--almost a towhead, particularly in the summer.  As I aged, my hair darkened considerably and does not bleach in the light like it used to.  "
huCBEE5B,brown,Dark Brown,"27 years of age with thinning hair. Hair used to appear darker, but I think it is a function of hair shaft thickness. Beard hair is currently darker than head hair, with an occasional deep crimson beard hair when seen in bright light."
hu2F052E,brown,,
hu5880D9,brown,Very dark brown.,None
hu9408BD,white,"almost all white, but facial hair is salt and pepper",My hair started going gray when I was seventeen.
huA7EB97,brown,Curly,"Hair was dirty blonde/light brown when young. Now a mixture of red, auburn, blonde, light brown and dark brown that just looks dark brown. Looks like... rotini."
hu52DA79,brown,"medium, not fine and not coarse","My hair was jet black when I was born, medium brown when I was a child, then turned dark brown as an adult. I started going grey at the age of 32, just single grey hairs here and there. I'm 58 now, I have about 25% grey hair now. My brown hair has also lightened to more of an ash brown."
huD550A5,brown,With hints of red at the ends,
hu374F4A,blonde,Dark Blonde,I was born with bright blonde hair that has darkened over my lifetime.
huD16532,brown,Basically brown,"Hair actually has a variety of color strands naturally- blonde, ash, auburn, dark brown- but appears medium brown. "
hu1365DC,blonde,,
hu63432C,brown,Light to Medium Ash Brown,Born with black hair which fell out when I was about one. Hair grew back blonde and began to darken when I was approximately 7 or 8.
huBA344C,brown,,
hu7D0E75,brown,brown,
hu516E89,brown,brown,Now partially gray
hu3E50D4,brown,dark brown,My hair was more reddish at birth.
hu265361,brown,Medium brown,My hair became much darker during and after my 3 pregnancies but eventually returned to a medium brown. 
hu5A6172,gray,coarse and curly,
huCCF26A,gray,my hair is gray in some areas and white in others,"I was tow-headed until puberty but my hair remained light brown until it started turning gray in my late 40s. I have family members who turned gray very early, ie in their 30s."
hu4F3A99,brown,grey/white,"turned grey about 58, hair formerly normal now thin & probably heading for very thin.  not male pattern baldness."
huD57BBF,brown,Dark Brown,
huF041C5,brown,"medium brown, with a few greys","Born with black hair that only lasted a few days, then have had brown ever since. Very straight, fine, thin. Does get reddishauburn with a lot of sun exposure (which is why people seem to think it's my ""natural"" color when I use henna to make it redder)."
hu14262A,,brown turning gray slowly,"I was very blond as a small child. Dark blond in teens and early 20s. Hair turned brown in my 30s and just kept getting darker and darker but I also started getting a few gray hairs when in late 30s early 40s. I am now 64 and still have mostly brown hair but maybe 35-40% is turning gray according to my hairdresser. My hair is much less gray than anyone else my age that I know, for some reason. There is lots of gray in back near my neck and some gray near my ears. The rest of my hair just has gray hairs distributed throughout the brown. Not that you care, but I streak it blond to hide the gray and it looks pretty good that way :)"
hu5844AD,brown,brown,"Born with blonde, now brown."
huD09050,gray,gray (white and dark mix),"Blond until I hit puberty, then it turned a light brown. I went gray in my forties."
huCAFC1C,brown,Very dark brown,
huD8C3BD,brown,reddish brown/auburn.,I was more ginger/redhead as a child; it has darkened with time. 
hu6C3F34,gray,gray and very dark brown,my hair was light brown (with reddish and blonde streaks) when I was younger
hu28391C,brown,brown with gray,
hu76CAA5,gray,Gray ,"Typical brunette. Lighter brown as a child, darkening as I aged until appearance of first gray in circa age 40. Very grey now at age 62 (my hair is almost as grey as my 90 year old mother). Oddly, my younger brother at age 60 has very little grey."
huF83462,gray,gray,grayish blonde
huC5733C,blonde,,"Bright blonde when young, became dirty blonde, now almost white. "
hu10D50B,brown,Very dark brown.,My hair was blonde for the first year of my life.
huB5A0DF,brown,Dishwater blond,I consider my youth hair color as brown but it was a light brown. 
hu5962F5,brown,,
hu2D53F2,brown,Brown,
huFD4AD3,brown,"lost my hair from alopecia universalis years ago, but when I had hair it was dark brown",I have a few vellus hairs on my head - they are white
hu12771C,brown,Medium dark brown,
hu8FE675,brown,Sun turns dark brown to medium brown ,"Hair color and texture super steady since I was a toddler. Only a few grey hairs, just in past couple of years (I am 46)"
hu751995,black,black,
huE2FAF1,gray,"Hair is really a mixture of gray, white, and brown",I was born with light brown hair. As an older child it turned dark brown. 
huC4F2BB,black,"black-brown, occasionally w/red",it was a bit lighter when i was younger and occasionally had red in it
huA720D3,brown,medium brown,
hu397733,gray,Gray with white around face and dark brown streak,Dark brown hair till it turned gray
hu05E665,brown,brown,
huD20DAF,,light red with some gray and white,"I'm 65 and graying, however, I still would describe my hair (question3.1) as dull red with gray and white saturation.  It is hard to answer question 3.1 with the answers provided.  Original pre-aging hair color was light red or copper-ish."
huD10FBC,brown,Now mostly white but brown elsewhere.,My hair was more red-brown as a child.
hu337BB4,brown,darker brown,Thin straight hair. Cowlick starting at front center of scalp and angled to the right.
hu0F0879,black,,
huF80F84,brown,"medium brown, natural blonde highlights, ","When exposed to the sun I get very very blonde highlights to the point where in pictures of me from summers where I played sports or was outside a lot in general, I look like a natural blonde. When I was born my hair was very dark brown, like my dad's, and it lightened up. If you look at my hair very closely there is a wide range of browns from strawberry blonde to blonde to dark brown -- When I dyed my hair blue without bleaching it first I got blue, purple, and green from one evenly applied application. But from far away it looks ""normal brown"""
hu3C86DB,gray,,
hu04F220,gray,,Used to be red
huA55602,brown,light dishwater brown,"I had very blond hair when young, then a pretty golden light brown, then it darkened and faded to a mousey light brown."
hu9941AD,brown,"Dark-medium brown with coppery red highlights in summer months.  A swath of silver/gray, mostly concentrated slightly right of my forehead, going back to make form what I refer to as my ""skunk stripe.""","Dark brown when born, then more auburn-colored in toddler years (lots of red highlights), but then darkening again to a dark medium brown. Three of my four children have followed the same pattern: dark brown when born, a lighter color during toddler years (in their case, various shades of blonde), then darkening again.  Last child has maintained dark-medium brown hair since birth to current age of nearly four."
huDBD591,brown,brown,Born fully blonde
hu851AB8,brown,"Originally dark brown, now brown mixed with lots of gray",
huD0E08A,blonde,dark blonde,"Born with brown hair, lighten to pale blonde by 6 months old, slowly darkened to medium blonde in high school where it stayed, hair atop head continued to darken to a dark blonde, although mustache is light blond and bottom of beard is medium/dark brown."
hu21DC54,gray,"mostly white with leftover bits of the younger color, light  brown",
huC36E0F,blonde,dark ash blonde,very light/whitish blonde as a child
hu28DA07,gray,gray,"My hair is gray only because I am 71 years old. Until it turned gray, it was dark brown."
huBC8000,brown,"dark brown, with ~25% graying",I had light brown hair as a young child and it darkened with age.
hu30AAAF,gray,,before grey was light brown
hu521A6E,brown,"light brown, starting to gray",
huE58F77,blonde,Blonde,Born with long black hair
hu7BE59E,white,"dirty blonde, dye color 7A, ends are blonder because I only color the roots.","My hair was light brown when I was born and got darker.  By the time I started to dye it, at 26, it was fairly dark brown."
hu6D50BE,brown,Medium brown losing warmth with age,"Light blonde child, darkened to warm shade of light to medium brown adult...now (50+) losing warm tones, looking darker and ashy...have some grays but the ashy is still brown just dull and darker looking."
hu599905,gray,Salt and Pepper--Going Gray,"Before beginning to gray, my hair was dark brown with a hint of red. I would call it brown, not auburn. However, my sideburns and bear were distinctly red. Everything is gray enough now that no red tones are noted at all."
hu5B19AE,gray,Gray,Was brown when younger
hu580BA5,brown,Dark brown,"Hair color was blonde with a reddish hue until I was about 4, then it started darkening. Medium brown until about 15 years old, then dark brown."
hu5A61B8,brown,"Very fine , slightly wavy",
hu675643,gray,gray and brown,
hu399FC0,white,mostly white with some remnant of blond/red,
hu81C741,blonde,95% grerying,male pattern baldness now with greying....
hu5AB9A8,brown,dishwater brown,
hu24F4AB,brown,,"Born with black hair, around age 25 hair started to turn dark brown"
hu779B4F,brown,,Medium ash brown. Has been all my life. 
hu3CAB43,blonde,blonde,
hu8AFE1F,red,Auburn,"My hair when I was born was more of a strawberry blonde color and has gotten darker as I aged, and now it's more of an auburn, reddish-brown color."
hu6D1115,brown,"My hair was not one color. I always checked off brown, but it sunbleached to blond highlights easily and I also had red highlights so that if I stood in sunlight people would say Oh you've got red hair!","I was born with brown hair, but I have pictures of me at the age of 6 or 7 where it appears to be blonde.The sun definitely lightens my hair. I always loved my hair color and texture, thick, but fine. I miss it. I have the gene for red hair, but I'm heterozygous and it is a recessive trait, but as I explained above, there is red in my hair. My sister was a strawberry blonde as a child. My father's beard would grow out red. My mother was blonde as a child; later her hair was light brown."
huA45084,blonde,blonde,
hu1A8C1E,brown,light brown,I was born with blond hair and was blond until around 1st grade when it started to change color.
huB89823,brown,"Light mousy brown, somewhat red",Five siblings and I had thick black hair at birth.
hu96405F,brown,dark brown,"I was born with black hair, then it turned red for a few months, and I've had dark brown hair with a few red strands since I was about four months old."
hu33894B,black,,My hair goes from black to really dark brown
huE9D7FD,brown,dark brown a reddish tone,My hair color is dark brown a reddish tone. When I was born it was black. It then grew in a lighter shade of brown. It darkened when I was a teenager to the color it is today.
hu34BA70,brown,I have extremely straight light brown hair that grows fast.,"I was born with the same brown hair. None of my brothers and sisters had the darker hair, like I have.  They were all blond haired and blue eyed.  I'm the different one of the bunch."
huDD6E7A,brown,,Turned white at age 29
hu00D419,brown,"A true brunette with reddish brown, blond, gold, silver, and gray strands.",My hair color at 60 years of age still matches the color of samples of my  hair saved from when I was a small child except that there is now a great deal of gray hair in places.
hu05F442,gray,brown/grey,
huFEC65A,gray,,"Was Brown, then Black, now salt/pepper"
hu251460,gray,coarse,born blonde - changed to light brown and now mostly gray
hu574751,blonde,blond to brown,
hu30888B,brown,Much of the hair has gone gray.,"Although the hair on my head is brown, my beard was a dark red, and hair on other parts of my body is also red.  The red hair went gray first so there is only hints of red here and there now."
huE5A9A3,gray,salt and pepper grey,"My beard was reddish brown. My hair was very dark brown, almost black."
huCEB0FE,brown,,
hu3A68BA,brown,"used to be white-blonde until about age 5, now brown",
huEE0410,blonde,dark ash blonde,
hu70C80B,,gray and black,was dark gray most of my life then started changing at age ~50 to its current gray & black mix.  
hu024B5D,blonde,fair blonde,getting lighter with time and sun; closer to white but still champagne
hu2AF047,,,"originally dark brown with some hints of auburn in sunlight; now, salt and pepper with increasing salt"
hu6A28EC,brown,dark brown with grey,
hu613C50,white,"well, white with blond","I was a blond of varying lightness and darkness until I greyed. I started greying at 27, am now 64 and still have some blonde.  My hearing aid is called ""champagne"" and seems a good match."
hu2AE6B6,blonde,light brown/brownish blonde,hair darkened with age. born with very blonde hair.
huD554DB,brown,"Basic brown, small blonde shiock on left side",Some reddish highlight naturally
hu4B11A3,brown,Light to medium brown,"My hair was a very light brown at birth, and has become darker as an adult."
hu98D4A9,brown,light brown with gray,
huF8AE42,brown,"brown with reddish highlights, a few scattered white hairs","My brother and I both had pale blond hair when we were children, which darkened as we hit elementary school age.  I found a single white hair when I was 25 and have been acquiring more very slowly since then.  They are scattered, isolated and not very noticeable unless you look closely."
hu5E55F5,brown,brown with some gray,I was born with very blond hair (a towhead) and as I grew older my color changed gradually.
huA8B443,,Salt and Pepper (Brown Pepper),"Until the grey started some years ago, my hair was dark brown."
huD0D79A,brown,,
huD95DAB,brown,Light brown with a little gray,I've always lightened/colored my hair and have always had trouble with my hair turning out with too much gold/red. 
huB6B648,brown,Brown and gray,
hu8D6607,brown,dark brown,
huB68207,red,,
hu26B551,brown,Light brown mixed with gray.,My hair was strawberry blonde until age four. Then became light brown with a reddish undertone.
hu5CD2C6,,light brown/grey,"childhood blonde;  later light brown; now brown, part grey"
huD92216,red,red,"red as a child, but now that I'm 66, it has turned more of a strawberry blond, very light in the summer when I am out in the garden all day, every day."
hu57C3BB,brown,Frizzy,I was initially brown with curly hair which stayed that way until I was about 2 years old. Then it became straight.
huB0CC9A,brown,Just average brownish hair,
hu5F5EB7,brown,starting to go grey,My hair was blonde as a child.  Dark blonde/light brown since about 7yrs.  Turning grey now.
hu4B3FF4,brown,dark brown with no reddish highlights,same color
hu97DF8E,black,black hair with red undertones,naturally black hair with red tones that show up in sunlight
huC96797,brown,,
hu05AE3F,brown,"Very curly, coarse, thin strands","In the future, You might want to consider a picture system similar to the eye color section with different hair types.  There are a few typing systems that some stylists use that you could model it off of (such as http://www.naturallycurly.com/hair-types, on this one, I am a solid 3B).  "
huEC68B1,gray,grey-on the white side,"hair was brown before turning grey, blonde as child"
huF7E042,brown,,
huE44F41,brown,"Light Brown, gray and white",Had white blonde hair from babyhood through  childhood. Was a dirty dish water blonde by Jr. Highschool.
hu9745B5,blonde,naturally beige blone with ash tones- recently greying around temples in a shocking white shade from temples to crown and a few single strands beyond that. ,"Born with reddish orange hair, turned bright blonde from ages 2-4 then went back to an orange blonde age 5-6, back to golden blonde thereafter, progressing to more beige in my 30's and now os beige with golden blonde accents. I'm told the undertone is ash, but I don't know what that means. It's a strange color, but never dark enough to be brown. The ""grey"" hair coming in from temple to temple started at age 42 and is more a bright and white, straight some spots and obnoxiously curly in others, only going back 1/4 inches into my crown area. Very annoying. Hair on legs and arms has always been fine light gold blonde."
hu2D6140,brown,light brown with gray,"I had very light blond hair as a child and it darked as I matured to a light brown.  At age 73 I have visible gray at the temple and in other areas.  My father also grayed late, and was not totally gray until approx. 80."
hu3DF8AD,brown,dark brown,"The hair on my head is dark brown, but my beard ranges from black to brown to red to blonde."
hu42FD5E,brown,light brown,born very blond. Also my beard is red
huAC3640,brown,Dark brown,Blond when a child
huA4E2CF,brown,,
huEBC5E7,brown,brown with graying,
hu117D1E,brown,Med brown,"I am 63 yrs old, few grey hairs, no dye, med brown hair with a few natural blond streaks. My hairdresser says my hair is very healthy."
hu86BC6B,brown,Light brown with deep blonde  (honey) natural higlights,Bon with very blonde hair. Hair has progressively gotten darker as I've aged. Hair still lightens significantly with sun exposure. Hair still on the very light end of the brown spectrum.
hu50405B,gray, grey,Blond early years to brown to grey
hu0D77CC,brown,,
hu21731A,brown,brown but with copper highlights in the sun,
hu9A06D5,brown,Light brown,
huF90C82,gray,much more salt than pepper,It was a not-special brown as a youngster.  Began turning gray in my late 20s.
hu2C7459,blonde,"Blonde overall, but significantly darker blonde in lower layers of hair.","My mother had blonde hair similar to mine, but it turned light brown following childbirth. I am nulliparous and intend to stay that way, so don't know if I would experience a similar shift."
hu2B76CC,,brown and grey,
huD2F73D,blonde,dirty blond,
hu90D19A,brown,light brown,born with strawberry blonde hair turned to a darker blonde when I got older. During my first pregnancy my hair turned brown and never turned back.
hu8BEDE1,white,mainly white with little grey,
hu7FA667,brown,Brown,
hu51FE08,gray,,Was light brown now mostly gray with some brown remaining
hu1B2689,black,"Very dark brown, almost black","Born with light hair, blondish."
hu3C0611,brown,medium-dark brown,
hu9D3638,brown,"brown, graying","My hair used to much fairer, even blondish up to the age of 2 or so."
huE9B698,blonde,,
hu2E4B9F,red,Red hair with only a few strands of gray starting.,"My hair has been red since birth. I have gone completely bald in front over the years, but half way over the top and both sides are full."
huFF2969,blonde,faded auburn,"Instead of turning white or grey, my hair lightened to a reddish blonde as I aged."
huEC6EEC,brown,,
hu9FEC32,gray,More silver than grey,"Yes, I was very blonde as a child.  My beard, when I was a young man, had definite red in it."
hu8BFB8B,brown,2/3 brown with 1/3 gray peppered throughout the hair,"Family history of early graying (e.g. maternal uncle 100% gray at age 16), though mine didn't noticeably gray until early 40's."
huEC0E19,brown,brown,
hu6E8157,brown,"dark brown, near black","I am beginning to gray around the temples.  

When I was younger (18-35?) about 1/2 my facial hair was dark brown (like my scalp hair), and 1/2 was red (like my mother's).  Now, about 1/2 my facial hair is dark brown (like my scalp hair), and about 1/2 is gray."
huAB5240,gray,silver gray,When I was younger I had brown hair and a redish-brown beard.
huCED936,brown,Dark brown ,"Not bald at all but but one uncle is, the other died of cancer but had all his hair at 60"
hu868BCC,brown,brown with grey,
hu67EBB3,brown,light brown,i was born blonde
huD7960A,brown,Dark Brown. ,"My hair is wilder and more difficult to control than other people's -- neither curly nor straight, and with more inconsistent behavior. "
hu13812F,brown,Dark,Born blond
huC11596,brown,ash brown,"Born black, fell out, turned red-blonde then straight blonde by the time I was 1 years old.  Then it gradually darkened with age.  By 18, I straddled the blonde/brown divide, and when I was 30, it was still light brown, but now at 35, it's medium brown and still getting darker!  Zero gray.  Not a single hair.  But one grandmother was completely gray at 40, while my paternal grandmother never got gray hair and died in her 90s."
hu8A71D6,brown,"Texture is very fine. Amount is ""more than average"" per hairdressers. Stick straight.","I have extremely fine hair similar in width to that of a baby's.  The amount of hair on head is above average per hairdressers. It takes a long time to dry per hairdressers. I'm also hirsute and have had laser hair removal to full legs. I was born with red hair that quickly developed into blond that first year until i was about 3 y.o. Then it turned to light brown, then to dark brown with red highlights. Now just mousy brown. No gray. Stick straight. Hard to hold any style. Prominent part in scalp. Blue toned scalp. 

My mother has red hair and everyone on her side is blonde or red with stick straight hair. Everyone's hair on my dad's side is black and wavy or curly.  I have wiry black and thick eyebrows like everyone on my dad's side.  "
hu8E2A35,brown,brown,Same color as long as I can remember
huA9A9EE,gray,gray,
hu27E03F,brown,Sandy brown,Very blonde when young & have become darker through the years
hu88D1FC,brown,,
hu4DB380,blonde,,
huF91B66,brown,Coarse and curly,"I was born with a full head of black hair. Up until puberty I had fine, straight, blonde hair."
huE753C3,brown,light brown,
huADA07D,brown,,
huEEE6E8,gray,Salt and pepper,Black.
hu01FCAD,brown,Sandy Brown,
hu6578EA,brown,light brown,
huAD98C9,gray,,
huEB7553,brown,"Brown, copper highlights in front.",
hu5AE862,brown,Dark brown,My hair was much lighter (dirty blond) as a child and darkened as I aged.
hu592A16,blonde,light blonde,I had curly hair when I was a toddler. Now it's straight and has a very fine composition.
huB4940E,brown,Dark Brown,Same color as when I was a baby
hu3BBB0F,brown,My hair is light brown and faded from blonde,"is a young child my hair was very light blonde, is 18 through 20's it was honey blonde and currently at age 55 it's  medium brown with natural light brown highlights and beginnings of some gray hairs around my face"
hu620F18,brown,,"Born with curly red hair that was a deep cherry red, not orange.  It lightened to a honey blonde, then went brown as I aged.  "
hu155D20,brown,brown,I was born with dirty blonde hair. It eventually turned brown over time.
hu63B0BA,gray,dark brown,"I had jet black hair as a child, just like my mom. My hair as an adult can be described as a very dark brown, now it has sections of gray in it unless I color it!"
hu69F26B,brown,Medium brown,Born with the same color hair. It shows blonde or reddish highlights when exposed to a lot of sun over time.
hu30804D,brown,some gray,"My hair is fine, and I was more blond as a child."
hu6BA24C,blonde,dirty blonde,
hu45BAB6,black,,
huC4A276,gray,Blonde grey white?  Silver?  ,"Very blonde until I had my ovaries removed, then suddenly pretty darn white.  Some silver coming in in my 30's"
hu488F89,,flat brown with grey/white mixed in,"since my last haircut my hair is a flat brown with grey/white mixed in, the tips have a small amount of faded red. the brown is very dark on me, but probably is a medium ash brown"
hu20289E,gray,gray,used to be blonde
huDEF76C,brown,Light brown few strands turning gray,Old black and white photos show my hair almost blond.
hu602487,,"White in front, grey mixed with light brown behind.","As a baby and toddler I had very light blond hair -- it looks white in photos. 
It darkened to dark blond by my 20's, with lighter blond in the front (naturally). 

It stayed that way until it began to go grey, then the rest darkened to brown and grey. "
hu5AE84D,brown,Brown.,"I was blond as a child. 

My hair has many different colors and textures. "
huF1DC30,black,black,
hu0D09BD,red,a browish strawberry blonde,It was redder and lighter when i was younger.
huC244BC,white,white,
hu4CA5B9,brown,borwn,
hu839A25,brown,,"Born blonde, gradually getting darker over 12-15 years. Also, having straight hair when young, getting more curly as time passes"
hu2632E4,blonde,dark blonde,
hu2632E4,blonde,dark blonde,
hu50E540,brown,dark brown,"Born brown, lightened to blonde from approx. age 2 to age 5, darkened back to dark brown"
hu1BD549,brown,Medium to dark brown,I was blone as a child and my hair sun bleaches easily to a lighter color
hu23DF74,gray,gray,was auburn when young to darker brown to gray
hu8D8CFA,black,salt and pepper,"My beard is almost completely white, while my mustache, like the remaining hair on my head, is mostly black with grey mixed in."
huD3A569,gray,salt and pepper grey,male pattern baldness
hu43860C,white,,born platinum blond.  Then reddish light brown.  Then mix of brown-grey-white.
huB220C0,gray,varigated in color,"Born blonde, stayed that way until going gray about two years ago. Very light and wispy as a child. Thicker later. Remains curly."
