name,hair,hair_details,comments
hu5E8E50,brown,dark auburn,"My hair color when I was younger was closer to a jet black, and seemingly becomes lighter and redder as I get older."
hu005023,brown,dark brown,
hu81BCA8,brown,"Fine, light brown hair","Born with black hair that fell out and came back the lightest blonde.
Progressively got darker through childhood and into adulthood."
huAC827A,brown,,I was blond when I was little.
hu955EE1,brown,Light brown,"My hair has gone white on the sides of my head. (All the males on my father's side of the family eventuallly go completely white.) On the top it is a mix of white and light brown hair.

When I was younger, (especially in my beard) there was always a number of black hairs and the occasional red hair interspersed with the light brown.
"
huE9130A,brown,light brown,hair lightens considerably in the sun.
hu868880,red,Reddish Brown,"photos from my childhood show my hair was very blond and it was often described to me as 'strawberry blonde'... as i've gotten older it has gotten darker. my eyebrows are very blonde, my arm hair is very blonde, but the hair on the rest of my body is darker. and the hair on my head is fairly tinged with grey."
huF7B0CD,brown,course curly,"Born with red hair, had red hair until age 5 then hair turned brown"
huA433CD,gray,"salt and pepper brown, blonde, grey and a little red","hair went from blonde as child to darker brown, and is multi-colored"
huA433CD,gray,"multi-colored, brown, blonde, grey, black, red",
hu64A49C,blonde,dusty blonde,very light blonde (almost light yellow/white) as a child - started to change to dusty/dirty blonde during adolescence and color has remained the same throughout adulthood
hu9D75D9,brown,Dark Brown with red highlights and some solidly red hairs,
hu52A2CC,brown,Ashy brown with blonde and red,
hu531522,brown,Copper red undertones.  Turns fiery red in the sun.,
hu53E02A,brown,"very thin, straight",
hu5A38F5,brown,MEDIUM BROWN,MY HAIR HAS ALWAYS BEEN A SHADE OF BROWN IT WAS DARKER ALMOST BLACK WHEN I WAS BORN
huEAA391,brown,Brown with some grays coming in mostly in temples,I was blonde for first few years of life
hu2F80FC,black,graying,
huD23DC7,brown,brown hair,I was born with jet black hair
huBFC13E,brown,,
hu4EEA9B,brown,"It used to be much lighter, and since middle school, has darkened severely to a near black.","I have double cowlicks on the crown of my head.  My hair has always been very thin/fine.  It is relatively straight, except for the cowlicks."
hu4EEA9B,brown,Dark brown - near black.,"Hair was lighter when I was young.  About middle school to high school timeframe, the color began to darken.  I have several strands that are different colors.  From some that have been blonde in appearance, to red.  Overall, my hair is very dark, to a near black at it's current state.  During high school, I began to notice a few grey strands.  Also, at the crown of my scalp, there are two opposing-direction cowlicks (double cowlick).  Fine, thin hair.  Body hair is almost nonexistent.  Pores are very effective at keeping me running cool, and is likely because of my lack of being hairy.  Perhaps some research into that subject would benefit science.  Hairy creatures generally have to pant to relieve body heat due to lack of sweat glands, perhaps less hair equals more (or more effective) sweat glands.  I do sweat very frequently."
huDBDF82,white,white,I had brown hair. First whites in grade school.  White stripe by graduate school.  Almost all white at 40
huDBDF82,white,white,I had dark brown hair starting  to get white in high school.  By graduate school I had a white streak in front.  Almost all white by 40.
huC03A63,blonde,"""Dirty"" Blonde",That's what people told me when I was younger.
hu4C3094,brown,medium brown,
hu9925B4,brown,dark brown,born with very light brown/blonde hair
hu1C3ACB,brown,Dark brown ,Hair dark brown at birth. Had a red tint during preschool ages. Turned dark brown by school age & has not changed color. 
huAD6C57,blonde,blond,
hu4623CD,brown,dark brown starting to gray,Wavy when short curly ringlets when long. Soft and healthy
huDE8ACB,brown,Brown with red and blond,Blonde until age twelve then darkened
hu297A5D,blonde,dirty blonde,"Platinum blonde as a young child, darkened to dirty blonde in elementary school. Remains dirty blonde in adulthood."
huFB4F9E,,"darker at the roots where it's a light auburn brown and the more it's exposed to sun the lighter it gets, so starting about 2"" from the roots it becomes more of a strawberry blonde, a mix of gold and copper with no ash coloring","I was born with very red hair and it stayed that way until about puberty. Afterwards it was a medium blonde for years until I started having my 4 kids, with each baby it changed slightly, and unpredictably."
huCDD5EE,white,"White, ex redhead","Bright red up till my forties, strawberry, then lighter & lighter, until white."
huDE536F,brown,dark brown with significant gray line,
huB0DE0F,brown,light brown/dark blonde,Born very light blonde-when I went on low thyroid meds it grew out darker than previous.
hu8209C4,blonde,dark blonde,
hu152E96,brown,dark brown,
hu55889F,brown,light brown,
hu77BAD2,brown,Medium brown,"My hair was dirty blonde at birth, and gradually darkened with age"
hu37161B,brown,Dark brown,My hairline seemed to recede an inch or less at about age 18 and not much since that time.  I still have most of my hair.
huDD5D00,brown,Dark brown with auburn highlights. ,Was much darker when I was younger - almost black. Now it seems to be a lighter hue of dark brown and I'm finding a few white hairs already (probably due to stress).
hu741459,blonde,,
huBE7BAD,brown,brown,"my hair was light blonde until I was 7 or 8. then people described it as ""dirty blonde"" for a lot of years, and now it's unambiguously just brown. I have some streaks that showed dark when my hair was light and showed light when my hair got darker, but i think the streaks were always the same color. they were visible enough on my scalp when i was an infant that hospital staff thought it was vernix and tried to scrub them off. when i shaved my head in my teens i could still see the stripes on my head, but when i shaved it this summer I couldn't see them. I do still get asked if I bleached highlights in even though I can't find the blonde streaks when i look in the mirror.

my beard is a mix of brown, blonde, red, silver, and black"
hu2735B0,brown,,
hu9C5D3F,brown,Salt and pepper,
huB4DBD7,blonde,Dirty Blonde,
huE0E689,brown,"Medium brown with red tints, starting to have gray patches around face",My hair was reddish light brown as a child.
hu346673,brown,Brown with a little gray,
hu01FB26,brown,"dark brown, almost black",Was born with blonde hair. Slowly darkened through adolescence.
hu01FB26,brown,"dark brown, almost black",Blonde at birth. Slowly darkened through adolescence.
huC3ACB0,brown,"medium brown, gold highlights","Hair is normal (not overly oily or dry). Texture is mostly straight, with waviness. Color is 4.3 according to ICC numbering system. Bleaches and dyes easily."
hu652406,blonde,,
hu60431C,brown,,"born with blonde hair, was curly I believe, changed after 2 years or something"
hu7ECB9C,brown,dark brown,No
hu7BBD72,gray,from reddish to bald to gray,
hu880E6A,blonde,,"Born with very light blonde hair, now darker."
hu60AB7C,,Medium brown slowly going Grey.,"My hair seems to have come from my mother who also had very thin hair strands.  Both my Mother and Paternal Grandmother seem to have suffered from a degree of mercury poisoning from Gamma 2 Amalgam fillings.  My paternal grandmother suffered from what appeared to be the uniform loss of about 2/3 of her hair, and grey hair, perhaps from mercury poisoning.  The hairline on my forehead receded while I was homeless, keeping my hair in a pony tail, and unable to wash it regularly.  It has stopped receding since returning to proper hygiene."
hu470099,brown,"Dark Brown, often mistaken for black","Born with lighter brown hair, darkened with age, grey coloration started in 20's an has slowly progress with age"
hu4C20BC,blonde,,
hu70ED6F,blonde,dark ash blonde,"I was a hairstylist for over 8 years. Peoples' hair tends to become darker as they age from childhood to adulthood. Mine, however, was the opposite. I always had a rich, chocolate-brown hair color that had definite warm undertones. As I started puberty, it became lighter with ash undertones until it became dark blonde with natural blonde highlights. I have never, ever seen this in any other client I met doing hair, not have I heard of this from any other stylist."
hu70ED6F,blonde,dark ash blonde; level 7,"hair began to lighten from dark chocolate brown (level 4 w/red undertones) as I began puberty until it became current color (has some natural blonde highlights) 

I was a professional hairstylist for over 8 years and have NEVER seen this, nor have I heard of this from any other stylist. Hair normally darkens with age."
hu1FD318,brown,greying brown,
hu6D243A,brown,light brown,"I was born with red hair, turned white blond, then blond, then brown. Still has a hint of red. "
hu1187FF,brown,medium brown,
hu7CE7A6,brown,Dark Brown,"My hair looks black but seen under a microscope and after I have spent a summer in the sun, it is brown and can change to red."
hu4B3CE7,gray,salt and pepper roots hair colored to more of an amber brown at the moment,born with VERy dark brown hair with auburn tint in sunlight
hu65BFA1,brown,light brown,blonde when younger
hu4F2901,brown,medium ash brown,
hu3FD7CB,blonde,Dark blonde/very light brown,Thinning over last year.
hu40A5EC,brown,,
huEDD981,white,white,fine
huEDD981,white,white,brown at birth
huA5C65F,blonde,,My hair was lighter when I was young. My facial hair is ginger
huD82893,brown,"Dark brown, but I am starting to go gray/white so there are a few strands of that here and there. (Hair dye to the rescue!!)","My pictures from my early childhood show a much lighter brown, almost sandy blonde, hair color."
hu480C51,brown,Straight,
hu6568BC,brown,light brown,"my hair is light brown (blond/brown), and has a red tint when shining light from it"
hu39D219,brown,brow with some lighter highlights,
hu7C0788,,,was brown but now salt and pepper
huAF469C,brown,,
huAF469C,brown,brown,
huCE971C,brown,brown,
hu9F0C90,blonde,Dark blonde,
huC87AD4,black,fine,
hu4D6C61,brown,"brown, interspersed with white","I was born with jet black hair. Then, my hair color turned blond, and staying that way until I was approximately 3 years of age.  Then, it turned brown."
hu5F9608,white,course and thick,
hu4BB10E,brown,Dull flat brown,
hu7CAF48,red,strawberry-blonde,
hu8DFB85,gray,Gray with black,"I do not know my birth color of hair. From 6 months to age 11, I had light blond hair. From age 11 to age 60, I had dark blonde/light brown hair. For a while I was white gray. Then since the age of 70, I have either gray or dark black hair! I think it might be related to some medication I take, as I never had black hair or even dark brown. (Perhaps statins?)"
huBF974E,brown,"light brown, easily blond from sun in the summer",My hair was very dark brown at birth and gradually got lighter.  Medium brown in elementary school/middle school to light brown later in high school and onward.
hu498BDE,brown,brown,
huEC83E7,blonde,dirty blonde,When I was born I had very little and it was white.  As I got older it became more of a golden blonde.  After I had children it got increasingly darker to the dirty blonde it is now. 
hu9CB528,brown,dark brown,
hu6B7829,brown,medium brown ,I have some gray now.  My hair looses its color very easily so the color at the roots is usually darker than farther down the shaft even if not color treated.    
huC9C933,brown,light to medium brown with slight reddish undertones,had blonde hair til roughly 2 years old
huA49E22,brown,"it's brown; perhaps a little lighter than the ""average"" brown hair.",
hu24E078,blonde,fine,
hu231D80,blonde,Dirty blonde,born with very blonde hair that turned more dirty blonde over the years
hu136241,brown,dark strawberry blonde,
hu5A7E54,brown,brown with significant gray and white,
hu3963B9,brown,,
hu5A7DC1,brown,"Brown, with blonde, copper, red, and black streaks",
hu7F7E4E,black,Black straight,
hu448C4B,white,"""arctic blonde""","Born bald. Not balding now, at age 65. Was dark blonde."
huAD6C57,blonde,blond,
hu2CDBAA,red,Auburn- mix of Red and Brown,
hu297A5D,blonde,dishwater blonde,
hu53075C,gray,Grey and black,"Born with blonde hair, very thick hair"
hu344FC0,brown,Light brown,I get red and blonde highlights if I stay in the sun too long. 
hu17B792,brown,,
huFE1782,blonde,dark strawberry blond,darker then when i was born. hair was very much lighter blond and very straight has more waive not much but still baby fine 
hu5268AD,brown,dark brown (with grey),"When I was little, my hair was honey colored but it darkened over the years to dark brown."
hu297A5D,blonde,dirty blonde,"Born platinum blonde, darkened to dirty blonde by late elementary school."
huF055B9,,"Between black and brown, ""1B"" in reference to hair coloring","Have a curly ""3C"" hair pattern. Thin but high density. "
hu6036FB,brown,light brown,
hu473ED0,brown,Hex color code #906145,Blonde hair until age 3
hu5CA053,brown,ash brown,I was born with dark brown hair but it has lightened.
hu1DC288,brown,Color is mainly shades of brown with blondes and reds,"I was born with golden blonde hair that was straight til the last third, which was curly/ringlets. After a major cut it became all over wavy with extra curly areas. Hair is more porous like African-American hair rather than Caucasian."
huF5F075,brown,,
hu371765,brown,dark brown with gray,
hu9532BC,brown,dark brown,
hu53DD01,blonde,50/50 blonde/gray,
hu6F651C,gray,gray,My hair was brown when I was younger.
huB06CDB,brown,Dark brown with natural red highlights/tones,"Born with black hair
Strands are very fine (like corn-silk), & very straight
Lots of hair"
hu76380E,red,"Hair color varies due to length and lighting, ranging from brown to shimmering blond",
hu27CF3D,brown,Light brown/blonde,Born very blonde
huC5203C,blonde,,
hu8FCC8F,brown,a light brown almost dirty blonde,"I was born with white hair, so white that the first two years of my life I looked bald.  Then come puberty my hair started to darken until the color it is today.  This is very common on my mothers side of the family.  Her and her four siblings were born with white hair and today my mother and the surviving siblings have dark brown hair. "
hu81F96F,brown,medium ash brown with gray,medium-dark blonde at birth through about year two
huFE0257,gray,gray,"born blondish, turn brown in teens, but summer sun always turned it more blond. After High school it was always brown."
hu7D1D2D,black,PItch black,
huD7DB72,brown,brown with strong strands of copper,My hair now is white.
huD7DB72,white,I am weekly told what beautiful hair I have (?),"My hair was very thick, brown with strong copper strands."
huAFF60A,gray,gray,
huDEEECB,brown,brown with streaks of white,
hu3F8570,gray,Salt and Pepper,
hu45A646,,,"born blond, then brown by 7 years"
hu934217,brown,,"thin, straight"
huBA62D9,gray,Salt & pepper gray,
hu52C5AD,brown,"Dark brown, red undertones","born with very dark hair; fell out, came back in much lighter brown. Was back to dark brown by 9 or 10."
hu655EB3,brown,brown,
huBBF649,brown,dark blonde with redish highlights,lighter brown that darkened with age
hu0F6CC5,red,strawberry blonde ,
hu9639D2,gray,gray,my hair is gray in front and very much brown in back.
hu195E4B,brown,brown grey,
huADBA20,blonde,thick ,
hu00F298,brown,"light brown, gets lightened in sun","born with hardly any hair, dirty blonde. darkened with maturity"
hu72C17A,black,black,black
hu2519CF,brown,brown,
huF489EC,brown,,
huDF8970,brown,,
hu524B5B,brown,fine,
huE27C66,brown,Brown/Gray,
huE7271F,brown,brown sprinkled with gray,I was born with a reddish tint
hu47E28A,brown,Brown with gray,
hu7F50FF,blonde,35% gray and dark blonde to brown,"my hair was white until I was about 8 years old, has steadily darkened since, now graying"
hu768A9A,brown,medium-dark brown,"thick, straight hair"
hu826751,brown,,
hu351AF9,black,black,
hu8246C2,brown,"brown, bordering on blonde",
hu96D41E,brown,Brown,
huD6F70D,white,White,Born sandy blond but turned brown with age
huCA7C6B,brown,,
huD2F73D,blonde,dirty blonde,"was very blonde until mid-30s, then gradually dirty blonde to light brown, now with tinges of gray."
hu9AF15C,brown,"brown with strands of blonde and red, grey ",I was born with blonde hair that darkened after birth probably around age 2 or 3
huA80B79,blonde,,My hair color as a child would go from shock white in the summer to a dark dirty blond in the winter
hu01FCAD,brown,Brown,
hu4B6D1D,brown,Very dark brown but not black. with warm tone,"While one the whole my hair is brown, the individual hairs are a mix of shades. This includes some light blonde hairs and black hairs.  My mustache grows in blonde and dark brown, with some hairs alternating color as they grow. Though my father had blonde hair as a baby that darkened to brown in adulthood, my hair has only darkened from mid-range brown to a darker brown. My mother's natural hair before greying and coloring was a very dark brown but without warm tones. I have two small spots of a few white hairs growing together. These have appeared over the last 6 years."
hu19CCAF,brown,medium-light brown,born blonde
hu4A8E6F,brown,Medium brown,Was born blonde
huA3BBD3,brown,,
hu4528B9,brown,Ashy dark brown,
huA2D79E,brown,"extremely dark brown almost black, but brown is apparent in sunlight",
hu082B98,brown,dark brown,
huAC9980,brown,,
huAA306E,blonde,,
hu26D074,brown,Slight red tint in sunlight; blonde streaks,
hu18460C,black,"rough texture, curly/wavy",
hu18460C,black,"rough texture, curly/wavy",
hu55E69B,brown,grey-brown,My hair was reddish brown when I was a child
hu6F9975,blonde,sand blond with whites in it,was blond as a baby
hu0B100A,brown,,
hu5880D9,brown,"Very dark brown, almost black when I was younger.",
hu9BD3DC,brown,Dark brown with 15-20% gray,Born with blonde hair
hu34986F,blonde,Dark blonde,Level 7 on hair scale of 1-10 
hu88370B,brown,Light red brown,
hu6C4BCF,brown,medium tint brown,"Mother has red hair, but my hair has no indications of carrying that recessive gene. One of my brothers has noticable red highlights in his brown hair."
hu4664CE,white,Still have some blond on top,Had blond hair before it turned gray and white when I grew older.
hu83E9B9,brown,brown with golden undertones/highlights,
hu98F189,brown,Has become more fine as aged,
hu05FD49,brown,,born blonde
hu76D186,brown,light brown mixed with gray,"blonde when child
beard tinged with red when younger"
huA33758,brown,"Dark brown, nearly black.","I had auburn hair at birth, which darkened to medium brown by age five. During puberty, it darkened again to very dark brown, in contrast to my mom, who has black hair."
hu871435,gray,Salt & pepper,"Born platinum blonde
Changed to dark brown age 8
Changed to gray age 52"
hu72C17A,black,,
huB1FD55,white,stark white,"Thick, lusterous, wavy hair, not balding. Original color Dark Brown"
huEEE6E8,gray,original black,alopecia areata
hu7DE7FD,brown,reddish brown with golden highlights,Natural hair color. Very late greying (only a few grey hairs at 48). Rest of my female relatives turned grey in their 30s.
hu51B2DF,blonde,dirty blonde,Hair was very light blonde when I was younger and darkened as I got older.  It is almost pushing a light brown/dark blonde at this point with the occasional speck of gray.
hu82D466,gray,,"Prior to going gray, my natural hair was medium brown."
huF5E0B6,blonde,dark blonde,
hu3E3370,blonde,"blonde, darkening with age and now with significant gray",
hu5CABA7,gray,"Slat and pepper, but more grey","Hair in my youth was very dark brown and started going grey at the temples in my early 20s. I was probably more gray than brown by the time I was 40. I don't expect I will go fully gray until around 60 or so, if my father and grandfather are any indication."
hu72076D,blonde,Straw blonde ,"I was born with black hair, the same color as my father's hair. It fell out within the first couple of months and came back in white blonde. "
hu7A03F2,blonde,dishwater blonde with graying at the temples,I was born blonde. I was tow headed roughly between 4 - 10. 
hu635045,brown,"dark brown, dark enough for people to think it is black indoors, with slightly reddish highlights","I was born with straighter hair, and now it is wavy, curly at the ends, especially in humidity"
hu6D1115,gray,Haven't seen my true color in years,"I was born with brown hair. When I was about six, it would sunbleach to blonde. When I had long hair in my late teens and 20s-30s I had sunbleached streaks and natural red highlights. I really miss my natural hair color (s). I considered my hair my best feature. I'm heterogeneous for the recessive red haired gene. "
hu8602F1,gray,fine slightly wavy,"hair was light brown as a child, dark brown as I got older and began turning gray when I was in my 50's"
hu6E7E5D,blonde,Darker blonde,"My hair was very blonde for most of my childhood, is increasingly dark, almost brown now"
hu4D906B,brown,Has some golden and red highlights preswnt,
hu1F7A7D,blonde,Ash blonde,"My hair was extremely light, almost not visible until about the age of 3 and darkened until 13 when it became the dirty ash blonde color it is now."
hu26C7EE,blonde,Brown w blond reddish streaks,"Blond as child 
After having kids turned brown
Now have Grey by temple"
huB9F2F3,brown,brown,
hu70D651,brown,used to be light-brown; now a lot of it has turned into white-gray,about half of the hair with natural hair color 'light-brown' has turned into white-gray
hu1097B2,blonde,"sandy in winter, bleaches out in the summer",As newborn I had red hair.  It all fell out and grew in wispy white.  Stood on end and I looked like a baby chick.
huE1E24D,brown,Brown/Gray,Started going Gray about 61
hu5BB600,brown,Brown,
hu6642CE,brown,Light brown,"Born with red hair, which turned blond then light brown"
hu1F73AB,white,mostly white with area of darker mixed gray in lower back of head ,"My hair started to gray when I was 21. By 35, the front 2/3 of my head was gray with a prominent white streak on the right."
hu886B5A,brown,"dark brown, 30% gray",
hu3E6525,blonde,dark blonde,"My hair started receding during college, around the time when I went through chemotherapy. "
huDC33F3,black,Black ,
hu7B9713,white,,
hu427AF5,blonde,dirty blonde,Born with very light blonde. darkened as aged.
hu420F49,blonde,Dark blonde,"Poliosis: One white spot since age 13, one since age 23."
huEFD2F0,brown,fine,Very thick until late 20's currently fairly fine and straight. There was a period where it was very curly in my late 40's for about 2 years then went straight again.
hu7A9A8F,blonde,dark blond/honey colored,Born with more reddish color (dark strawberry blond)
hu976B29,brown,,
hu4DE348,white,"grey, was dark brown when younger, and reddish highlights in summer","Blondish at birth, darkened later"
hu0C9503,blonde,blonde,
hu54EEB2,brown,Light or golden brown,Hair is very fine. Finest strands ever!
hu916767,brown,"normal, straight",
hu2DBF2D,blonde,somewhere between light brown and blonde,"When I was a baby my hair was reddish blonde, then as a child it was very light blonde, now (30's) my hair is approaching light brown. "
hu10D938,brown,Medium-light brown,"Wavy-curly hair, very thick"
hu10D938,brown,Medium-light brown,"Wavy-curly, very thick"
hu6CD2B2,white,white,
hu4A0B16,brown,,"born with reddish blond hair, had very light blond hair until age 17 when it began to darken"
huC300EA,brown,BROWN AND GREY,
huEC8BB4,gray,Salt and pepper,Brown most of my life until aging went to gray
hu4509AD,blonde,dirty blonde,"Facial hair, particularly around mouth is very blonde"
hu07CA25,blonde,"dark blonde ""dishwater"" with some gray",
hu4C0A4F,gray,salt & pepper,
huC3ECD9,brown,,
hu548442,blonde,"dark blonde, with red undertones","Born with black hair. Platinum blonde throughout childhood, and it darkened during puberty."
huC61F44,brown,light brown with gold highlights,"Hair was dark at birth, then was dirty blonde as a child, became darker after puberty."
hu4A9550,brown,brown with some grey,
hu17410A,brown,Ash Brown,
hu029DBB,brown,Dark brown,
huA96EC4,gray,,
hu4D0AD8,brown,brown,
hu16D807,blonde,blonde,
hu8D297C,gray,grey and getting lighter,Born with very dark brown hair. Started greying in my early to mid 30's. Now 80% or more grey.
hu217398,blonde,Dark blonde,I was born with very dark hair. It became almost bleach blonde very quickly. It darkened with age. Now it is almost brown.
huB225A9,blonde,bright blonde at birth dirty blonde later in life,
hu2B8562,brown,curly,born blonde
hu4B1A63,gray,,Previously brown.
hu370A63,brown,Dark brown with some gray,
hu370A63,brown,dark brown with some grey,
hu0211D6,brown,auburn,
huB75628,brown,Light brown,
huB75628,brown,Light brown,
huDCCD23,brown,Brown with red/blond highlights,hair color has darkened over age
huEBFE01,brown,75% brown 25% gray,
hu955F41,brown,curly when long. thin.,
huE2EAB7,red,red,"It was a deeper red when I was a kid.  Over the years my hair has faded a little, and only my beard remains deeply red ( where it hasn't gone gray, that is)"
hu2C27FF,blonde,,
hu50741B,brown,medium brown,My hair has darkened as I grew older.
hu515A13,blonde,thick,
hu691B95,blonde,"Dark blonde heading toward brown, with lots of gray interspersed, and some red.","I was a ghost white blonde until middle school and then my hair darkened. After college, I dyed my hair Auburn red for a couple decades. I've let it go natural past 2 years, and have some interesting stripes of dark color, and stripes of gray. Also, I seem to have more hair follicles per square inch than average. Super fine hair"
hu48739E,white,White with a bit f grey and slightly yellowish tinge,Very light blond turning ash and darker blond with age
huAA67BC,brown,light brown,"I was born with near-white blonde hair which progressively darkened as I've aged, and it is now a brown color which lightens significantly during the summer months."
hu2EFFAB,brown,Brown ,
hu4F2FC9,red,Medium/dark red,Hair gets much lighter in the summer and has a patch of hair that turns more blonde.
hu0EB0AC,black,black,N/A
hu0E7AAF,brown,,"very blonde at least until a few years old, less and less as I got older"
huA5BEB9,brown,dark brown with some areas of grey.,
huDABCEB,brown,Dark brown,
huE77B10,brown,Wavy,
huAF3415,blonde,dirty blonde,
hu828330,brown,"few gray hairs, never colored","when born and until my 20s, hair was blond--very light while little, gradually darkening"
hu9BBEE6,brown,fine straight mousy brown now graying,started with brownish red hair at 3 went almost white blonde. around 5 dirty blonde and 12 yrs brown.Hair still bleaches blonde in strong sunlight
hu6B8812,blonde,,
hu040C0A,brown,brown,
huF6B050,blonde,Blonde/Brown,When I was a child my hair was bleach blonde. In the sun it turns blonde. Without sun it is a dark blonde
hu1EEE46,brown,,
hu99FB1A,brown,"Dark brown, even tone","Fine, thick hair, slight wave."
hu99FB1A,brown,Dark brown,Fine and thick hair.
huA5BA2A,brown,brown,"straight hair, not curly"
hu04D550,brown,brown now with some greying,"born with brown hair with a small white patch in front, later the white patch went away (tuned brown)."
huF0C7F6,brown,Red brown,Born with black hair then turned blonde then fell out and turned red/brown 
huD58ABC,white,"thick, coarse","My hair was originally red, and began to turn around age 30. I now color my hair, back to its original red. It is mostly gray/white now, I'm guessing, but I don't know for sure!"
hu4F0EE1,black,,
huF5A4C6,brown,dark brown,
hu0257DA,blonde,Light ash brown (almost dark blonde),"Hair when born was golden platinum blonde, and has darkened gradually as I have aged."
hu6942AE,brown,light brown turning white with age,
hu28C432,brown,Dark brown with some gray,very blond when young
hu0B51B8,black,Off black not Jet,Coarse Hair that I love and keep natural
huC6F6AC,brown,Dark brown,
huD62FC1,brown,dark brown (developing gray/white streaks with age),
hu664B6E,black,deep brown almost black,nope
hu15E54C,brown,Darker brown with a lot of auburn mixed in and with some golden strands.,My hair color has grown darker with age. It had a lot more auburn in it when younger.
hu9399CB,brown,Brown,
hu4EB3D8,white,very white,"I was bald at birth

had golden blonde hair until about 10 years old

hair turned light brown

then white"
hu1F5D48,brown,dark brown going grey,
hu4BD9FD,brown,brown with red highlights,When I was born I had a large patch of red hair that faded away to be highlights all over my head.
hu694A23,black,some grays,
hu340836,black,,
huF39C9F,brown,,
hu26F263,brown,wavy,
huA2961E,brown,brown (although its mostly gray now),
hu73812A,brown,Fine,
hu3A1F33,brown,Dark Brown,
hu2FEC01,brown,Dark brown to almost black,Was born a strawberry blonde
hu19F818,brown,,Blond hair when younger
huAB8707,gray,grizzled,Very dark brown originally
hu92F252,gray,salt and pepper,
hu8B4E43,brown,Brown now with some grey,
hu7ED49C,gray,More salt than pepper,"I was born almost hairless as I understand it.  But had dark brown hair by the time of the age of 2.  Began male pattern as a late teen and am essentially bald except for a 1.5"" band of rather thick hair from temple to temple around the lower part of my skull."
hu3841AA,brown,Brown turning gray,
huE7B83C,brown,,
huC2FAF9,gray,Age related gray,
hu0488C7,blonde,dishwater blonde,
hu8BF030,brown,light brown with blond highlights,born with very dark brown hair
huE778FA,gray,,"Born with ""dirty blonde"" hair, severe male pattern baldness starting in my early 20s (by 23 was completely bald on top).  Started graying in my late 40s, now starting to turn white."
hu41C320,blonde,blonde,I was born with red hair
huD8D4AD,brown,,
huCE6228,blonde,dirty blond,
hu5E55F5,brown,brown with some gray,"I was born with very blond hair, mother described at ""tow Head"""
hu86597D,brown,light brown with a little gray coming in,
huC27EEE,gray,"some hairs white, some hairs ashy brown","Brunette in my youth. Had a gray hair or 2 in my 30s, and gray gradually progressed from there."
huB63C0C,brown,"brown, with some gray",
hu1206C8,blonde,blonde,"Blonde when younger, now it is gray, and there isn't much of it"
hu1206C8,blonde,blonde,"Hair was blonde when younger, now I don't have much and it is all gray"
huE36C4B,brown,,
huE36C4B,brown,,
huCD25E9,brown,,
huA31492,brown,light curly when long,
huFB42F7,brown,Dark brown,
hu17A4AB,brown,,
hu3B8141,black,black with white/gray,"I was born with dark brown hair, but as I get older my hair has turned black and turning white/gray."
hu329CC4,blonde,blonde,Hair was lighter shade of blonde as a child
huAC827A,brown,,I was blond when I was little. My hair gradually darkened with age.
huF7FFA9,white,"white in front, gray in back",Born with medium brown hair.
huB17F67,brown,light brown with an a warm orangy-reddish undertone undertone,
huFE71F3,red,,
huE86317,gray,gray with brown or red strands,
huDFF9CC,brown,,
huC23960,,Brown,"Born with very dark hair which changed to brown, but I am the only one in the family, including parents and my 4 siblings who was never blond(e)."
hu19C09F,gray,brown with some gray,
hu0F63F2,brown,"Dark brown with light brown, reddish brown, and dark blonde highlights.",
